// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3
// command took 1.27s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3
// command took 2.64s and exited with 0
// ***** Done, took 00:00:04 (4.03 sec)   *****
// Found 6 benchmarks:
//   ListsBenchmark2.Sum_ByIndex: DefaultJob [N=15]
//   ListsBenchmark2.Sum_Foreach: DefaultJob [N=15]
//   ListsBenchmark2.Sum_Linq: DefaultJob [N=15]
//   ListsBenchmark2.Sum_ByIndex: DefaultJob [N=30]
//   ListsBenchmark2.Sum_Foreach: DefaultJob [N=30]
//   ListsBenchmark2.Sum_Linq: DefaultJob [N=30]

// **************************
// Benchmark: ListsBenchmark2.Sum_ByIndex: DefaultJob [N=15]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2ec7b7b0-5bc2-422f-864a-37b9012102f3.dll" --benchmarkName "Bdn1.ListsBenchmark2.Sum_ByIndex(N: 15)" --job "Default" --benchmarkId 0 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

ConfidenceInterval = [4.1244 ns; 4.2996 ns] (CI 99.9%), Margin = 0.0876 ns (2.08% of Mean)
Skewness = 0.89, Kurtosis = 2.76, MValue = 2
-------------------- Histogram --------------------
[4.117 ns ; 4.273 ns) | @@@@@@@@@@@@
[4.273 ns ; 4.434 ns) | @@@
---------------------------------------------------

ListsBenchmark2.Sum_Linq: DefaultJob [N=15]
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 109.8128 ns, StdErr = 0.6731 ns (0.61%); N = 27, StdDev = 3.4974 ns
Min = 106.3988 ns, Q1 = 107.3755 ns, Median = 108.4623 ns, Q3 = 112.1508 ns, Max = 118.6931 ns
IQR = 4.7753 ns, LowerFence = 100.2127 ns, UpperFence = 119.3137 ns
ConfidenceInterval = [107.3180 ns; 112.3077 ns] (CI 99.9%), Margin = 2.4948 ns (2.27% of Mean)
Skewness = 1.28, Kurtosis = 3.61, MValue = 2.24
-------------------- Histogram --------------------
[105.379 ns ; 109.206 ns) | @@@@@@@@@@@@@@@@@
[109.206 ns ; 112.665 ns) | @@@@@@
[112.665 ns ; 115.345 ns) | @
[115.345 ns ; 119.713 ns) | @@@
---------------------------------------------------

ListsBenchmark2.Sum_ByIndex: DefaultJob [N=30]
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 14.1401 ns, StdErr = 0.0744 ns (0.53%); N = 18, StdDev = 0.3156 ns
Min = 13.7678 ns, Q1 = 13.9109 ns, Median = 14.0527 ns, Q3 = 14.4315 ns, Max = 14.7642 ns
IQR = 0.5205 ns, LowerFence = 13.1301 ns, UpperFence = 15.2123 ns
ConfidenceInterval = [13.8452 ns; 14.4351 ns] (CI 99.9%), Margin = 0.2949 ns (2.09% of Mean)
Skewness = 0.78, Kurtosis = 2.17, MValue = 2
-------------------- Histogram --------------------
[13.731 ns ; 14.230 ns) | @@@@@@@@@@@@@
[14.230 ns ; 14.870 ns) | @@@@@
---------------------------------------------------

ListsBenchmark2.Sum_Foreach: DefaultJob [N=30]
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 8.8519 ns, StdErr = 0.0148 ns (0.17%); N = 15, StdDev = 0.0575 ns
Min = 8.7758 ns, Q1 = 8.8192 ns, Median = 8.8392 ns, Q3 = 8.8893 ns, Max = 8.9794 ns
IQR = 0.0702 ns, LowerFence = 8.7139 ns, UpperFence = 8.9946 ns
ConfidenceInterval = [8.7904 ns; 8.9133 ns] (CI 99.9%), Margin = 0.0615 ns (0.69% of Mean)
Skewness = 0.65, Kurtosis = 2.43, MValue = 2
-------------------- Histogram --------------------
[8.755 ns ; 9.000 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

ListsBenchmark2.Sum_Linq: DefaultJob [N=30]
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 192.1242 ns, StdErr = 0.4596 ns (0.24%); N = 14, StdDev = 1.7198 ns
Min = 189.5405 ns, Q1 = 190.6595 ns, Median = 192.1516 ns, Q3 = 194.0063 ns, Max = 194.3075 ns
IQR = 3.3468 ns, LowerFence = 185.6393 ns, UpperFence = 199.0265 ns
ConfidenceInterval = [190.1841 ns; 194.0643 ns] (CI 99.9%), Margin = 1.9401 ns (1.01% of Mean)
Skewness = -0.07, Kurtosis = 1.43, MValue = 2
-------------------- Histogram --------------------
[188.916 ns ; 194.932 ns) | @@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.4, OS=Windows 10.0.17763.615 (1809/October2018Update/Redstone5)
Intel Core i7-8700 CPU 3.20GHz (Coffee Lake), 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=2.2.202
  [Host]     : .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
  DefaultJob : .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT


|      Method |  N |       Mean |     Error |    StdDev | Ratio | RatioSD |
|------------ |--- |-----------:|----------:|----------:|------:|--------:|
| Sum_ByIndex | 15 |   7.948 ns | 0.1065 ns | 0.0997 ns |  1.00 |    0.00 |
| Sum_Foreach | 15 |   4.212 ns | 0.0876 ns | 0.0819 ns |  0.53 |    0.01 |
|    Sum_Linq | 15 | 109.813 ns | 2.4948 ns | 3.4974 ns | 14.01 |    0.56 |
|             |    |            |           |           |       |         |
| Sum_ByIndex | 30 |  14.140 ns | 0.2949 ns | 0.3156 ns |  1.00 |    0.00 |
| Sum_Foreach | 30 |   8.852 ns | 0.0615 ns | 0.0575 ns |  0.63 |    0.02 |
|    Sum_Linq | 30 | 192.124 ns | 1.9401 ns | 1.7198 ns | 13.57 |    0.39 |

// * Hints *
Outliers
  ListsBenchmark2.Sum_ByIndex: Default -> 1 outlier  was  removed

// * Legends *
  N       : Value of the 'N' parameter
  Mean    : Arithmetic mean of all measurements
  Error   : Half of 99.9% confidence interval
  StdDev  : Standard deviation of all measurements
  Ratio   : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD : Standard deviation of the ratio distribution ([Current]/[Baseline])
  1 ns    : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:02:13 (133.65 sec), executed benchmarks: 6

Global total time: 00:02:17 (137.69 sec), executed benchmarks: 6
// * Artifacts cleanup *
